Family,Scientific Name,Common Name,Year Introduced,Year Established,Source,First Voucher,Stage,Pathway,In our data?,
DACTYLOIDAE,Anolis chlorocyanus Duméril & Bibron 1837,Hispaniolan Green Anole,1987,1980s,Moler 1988,KU 210033,Pet Trade,,Y,
DACTYLOIDAE,Anolis coelestinus Cope 1862,Jeremie Anole,2009,N/A,Krysko et al. 2011a,UF 157133,Pet Trade,,N,
DACTYLOIDAE,Anolis cristatellus Duméril & Bibron 1837,Puerto Rican Crested Anole,1975,1970s,Schwartz & Thomas 1975,MCZ R-14622–265,Pet Trade,,Y,
DACTYLOIDAE,Anolis cybotes Cope 1862,Large-headed Anole,1964,1967,King & Krakauer 1966,UF 91063,Pet Trade,,Y,
DACTYLOIDAE,Anolis distichus Cope 1861,Bark Anole,1946,1940s,Smith & McCauley 1948,MCZ R-5000,Cargo,,Y,
DACTYLOIDAE,Anolis equestris Merrem 1820,Knight Anole,1952,1950s,Neill 1957,LACM 61680,Pet Trade,,Y,
DACTYLOIDAE,Anolis garmani Stejneger 1899,Jamaican Giant Anole,1975,1970s,Roberts 1977,LSUMZ 35367,Pet Trade,,Y,
DACTYLOIDAE,Anolis porcatus Gray 1840,Cuban Green Anole,1904,1900s,Barbour 1904,UF 91293 or 5,Cargo,,Y,
DACTYLOIDAE,Anolis sagrei,Brown Anole,1941,1940s,Oliver 1950,N/A,Pet Trade,,Y,
DACTYLOIDAE,Anolis trinitatis Reinhardt & Lütken 1862,St. Vincent Bush Anole,2004,2004,Krysko et al. 2011a,"UF 144299, 151034",Pe,,N,
TRIONYCHIDAE,Apalone spinifera (LeSueur 1827),Spiny Softshell,2008,N/A,Krysko et al. 2011a,UF 153765,2,Pet Trade,N,
TEIIDAE,Aspidoscelis motaguae (Sackett 1941),Giant Whiptail,1994,1990s,Bartlett 1995,KU 222210–11,4b,Pet Trade,Y,
CORYTOPHANIDAE,Basiliscus plumifrons Cope 1875,Green Basilisk,2015,N/A,Butterfield et al. 1997; This Study,UF 177256,2,Pet Trade,Y,
CORYTOPHANIDAE,Basiliscus vittatus Wiegmann 1828,Brown Basilisk,1963,1960s,King & Krakauer 1966,UF 124584,5,Pet Trade,Y,
BOIDAE,Boa constrictor constrictor (Linnaeus 1758),Common Boa,1960s,1970s,King & Krakauer 1966,UF 137070,3,Pet Trade,Y,
BOMBINATORIDAE,Bombina orientalis (Boulenger 1890),Oriental Fire-bellied Toad,2007,N/A,Krysko et al. 2011a,UF 152327,2,Pet Trade,Y,
DIPSADIDAE,Borikenophis portoricensis (Reinhardt and Lütken 1862),Puerto Rican Racer,2014,N/A,This Study,"UF 174739, 174815",2,Cargo,Y,
ALLIGATORIDAE,Caiman crocodilus (Linnaeus 1758),Spectacled Caiman,1950s,1950s,King & Krakauer 1966,UF 75207 (check: 4074b?),5,Pet Trade,Y,
CALABARIIDAE,Calabaria reinhardtii (Schlegel 1848),Calabar Burrowing Boa,2014,N/A,This Study,UF 174481,1,Pet Trade,Y,
AGAMIDAE,Calotes cf. versicolor (Daudin 1802),Bloodsucker Lizard,1978,1970s,Enge & Krysko 2004,UF 137448,Pet Trade,,Y,
TESTUDINIDAE,Centrochelys sulcata (Miller 1779),African Spurred Tortoise,2002,N/A,Krysko et al. 2011a,UF 151752,2,Pet Trade,Y,
SCINCIDAE,Chalcides ocellatus (Forskål 1775),Ocellated Skink,1999,2000s,Krysko et al. 2011a,UF 135284,3,Pet Trade,Y,
CHAMAELEONIDAE,Chamaeleo calyptratus Duméril & Bibron in Duméril & Duméril 1851,Veiled Chameleon,2000,2000s,Krysko et al. 2004,"UF 133251, 133255–57, 133259–63",,,Y,
CHAMAELEONIDAE,Chamaeleo senegalensis (Daudin 1802),Senegal Chameleon,2009,N/A,Krysko et al. 2011a,UF 157301,Pet Trade,,N,
TESTUDINIDAE,Chelonoidis carbonarius (Spix 1824),Red-footed Tortoise,2007,N/A,Meshaka et al. 2004; Krysko et al. 2011a,UF 153958,2,Pet Trade,Y,
TESTUDINIDAE,Chelonoidis denticulatus (Linnaeus 1766),Yellow-footed Tortoise,2012,N/A,Bartlett 1967b; This Study,UF 166994,2,Pet Trade,Y,
CHELYDRIDAE,Chelydra serpentina (Linnaeus 1758),Snapping Turtle,2013,N/A,Cove & Maurer 2015,UF 174814,2,Pet Trade,N,
BOIDAE,Chilabothrus granti (Stull 1933),Virgin Islands Boa,2014,N/A,This Study,UF 173081 (FWC 46759),2,Cargo,N,
BOIDAE,Chilabothrus inornatus (Reinhardt 1843),Puerto Rican Boa,2014,N/A,This Study,UF 174740,2,Cargo,Y,
BOIDAE,Chilabothrus strigilatus (Cope 1863),Exuma Cays Boa,2014,N/A,This Study,UF 173412,2,Pet Trade,Y,
GEKKONIDAE,Chondrodactylus bibronii (Smith 1846),Bibron’s Giant Thick-toed Gecko,2015,N/A,Bartlett & Bartlett 1999; This Study,UF 177320,Pet Trade,,Y,
GEKKONIDAE,Chondrodactylus turneri (Gray 1864),Turner’s Giant Thick-toed Gecko,2010,N/A,Krysko et al. 2011a,UF 157971,Pet Trade,,Y,
EMYDIDAE,Chrysemys dorsalis Agassiz 1857,Southern Painted Turtle,2008,2000s,Kail et al. 2011b; Krysko et al. 2011a,UF 153957,3,Pet Trade,N,
EMYDIDAE,Chrysemys picta bellii (Gray 1830),Western Painted Turtle,1933,N/A,Carr 1940; Krysko et al. 2011a,UF 18982,—,Pet Trade,Y,
COLUBRIDAE,Chrysopelea ornata Werner 1925,Golden Flying Snake,2011,N/A,This Study,UF 166451,2,Pet Trade,Y,
TEIIDAE,Cnemidophorus lemniscatus (Linnaeus 1758),Rainbow Whiptail,1964,1960s,King & Krakauer 1966,KU 209859,4b,Pet Trade,Y,
CROCODYLIDAE,Crocodylus niloticus Laurenti 1768,Nile Crocodile,1996–1997?,N/A,Quinn 1994; Rochford et al. 2016,UF 175632,2,Zoo,Y,
CROCODYLIDAE,Crocodylus niloticus Laurenti 1768,Nile Crocodile,2009,N/A,Quinn 1994; Friar & Plumb 2014; Rochford et al. 2016,"UF 175743, 165995, 173082",2,Pet Trade,Y,
CROTAPHYTIDAE,Crotaphytus collaris (Say in James 1822),Eastern Collared Lizard,2015,N/A,This Study,UF 177209,2,Pet Trade,N,
IGUANIDAE,Ctenosaura pectinata (Wiegmann 1834),Mexican Black Spiny-tailed Iguana,1960s,1960s,Eggert 1978,KU 206675,Pet Trade,,Y,
IGUANIDAE,Ctenosaura similis (Gray 1831),Gray’s Spiny-tailed Iguana,1970s,1970s,Butterfield et al. 1997,UF 91662,Pet Trade,,Y,
IGUANIDAE,Cyclura cornuta (Bonnaterre 1789),Rhinoceros Iguana,1960s,N/A,King & Krakauer 1966,Zoo,Pet Trade,,Y,
